iter	Passed	Remaining
632	1846	1070
633	1850	1068
634	1853	1065
635	1855	1061
636	1857	1058
637	1866	1059
638	1870	1056
639	1873	1053
640	1875	1050
641	1879	1047
642	1884	1046
643	1889	1044
644	1893	1042
645	1895	1038
646	1898	1035
647	1900	1032
648	1903	1029
649	1905	1025
650	1912	1025
651	1918	1023
652	1921	1021
653	1923	1017
654	1926	1014
655	1928	1011
656	1931	1008
657	1936	1006
658	1940	1004
659	1943	1001
660	1945	997
661	1947	994
662	1951	991
663	1953	988
664	1956	985
665	1959	982
666	1962	979
667	1966	977
668	1970	974
669	1972	971
670	1976	969
671	1980	966
672	1983	963
673	1987	961
674	1989	957
675	1991	954
676	1993	951
677	1995	947
678	1997	944
679	2002	942
680	2006	939
681	2008	936
682	2011	933
683	2013	930
684	2015	926
685	2017	923
686	2018	919
687	2024	918
688	2027	915
689	2031	912
690	2033	909
691	2035	905
692	2036	902
693	2038	898
694	2040	895
695	2045	893
696	2050	891
697	2052	888
698	2056	885
699	2058	882
700	2060	878
701	2061	875
702	2063	871
703	2066	868
704	2070	866
705	2074	863
706	2076	860
707	2077	856
708	2079	853
709	2084	851
710	2088	848
711	2094	847
712	2096	843
713	2098	840
714	2101	837
715	2103	834
716	2105	830
717	2106	827
718	2113	825
719	2116	823
720	2119	820
721	2121	816
722	2124	813
723	2126	810
724	2128	807
725	2132	804
726	2134	801
727	2137	798
728	2139	795
729	2141	792
730	2143	788
731	2145	785
732	2147	782
733	2149	778
734	2151	775
735	2153	772
736	2158	770
737	2161	767
738	2164	764
739	2166	761
740	2168	757
741	2171	755
742	2173	751
743	2183	751
744	2184	747
745	2187	744
746	2190	741
747	2200	741
748	2203	738
749	2209	736
750	2213	733
751	2215	730
752	2221	728
753	2223	725
754	2226	722
755	2230	719
756	2235	717
757	2237	714
758	2239	710
759	2243	708
760	2245	705
761	2246	701
762	2249	698
763	2250	695
764	2252	692
765	2255	689
766	2259	686
767	2271	686
768	2274	683
769	2276	680
770	2278	676
771	2281	673
772	2283	670
773	2285	667
774	2291	665
775	2295	662
776	2298	659
777	2299	656
778	2301	652
779	2303	649
780	2306	646
781	2311	644
782	2314	641
783	2317	638
784	2320	635
785	2322	632
786	2324	629
787	2326	625
788	2334	624
789	2341	622
790	2345	619
791	2347	616
792	2349	613
793	2353	610
794	2356	607
795	2361	605
796	2364	602
797	2366	599
798	2369	596
799	2375	593
800	2377	590
801	2379	587
802	2380	584
803	2382	580
804	2384	577
805	2391	575
806	2395	572
807	2399	570
808	2402	567
809	2405	564
810	2407	560
811	2409	557
812	2411	554
813	2418	552
814	2422	549
815	2424	546
816	2427	543
817	2428	540
818	2431	537
819	2433	534
820	2435	531
821	2440	528
822	2447	526
823	2449	523
824	2451	520
825	2453	516
826	2456	513
827	2466	512
828	2470	509
829	2473	506
830	2476	503
831	2478	500
832	2480	497
833	2482	494
834	2484	490
835	2489	488
836	2491	485
837	2493	481
838	2494	478
839	2497	475
840	2503	473
841	2504	470
842	2506	466
843	2509	463
844	2513	460
845	2519	458
846	2520	455
847	2522	452
848	2524	448
849	2526	445
850	2528	442
851	2530	439
852	2539	437
853	2541	434
854	2545	431
855	2547	428
856	2550	425
857	2565	424
858	2568	421
859	2572	418
860	2574	415
861	2576	412
862	2582	409
863	2588	407
864	2591	404
865	2593	401
866	2595	398
867	2601	395
868	2605	392
869	2610	390
870	2612	386
871	2614	383
872	2617	380
873	2619	377
874	2623	374
875	2629	372
876	2631	369
877	2634	366
878	2636	362
879	2638	359
880	2640	356
881	2647	354
882	2649	351
883	2655	348
884	2657	345
885	2659	342
886	2662	339
887	2668	336
888	2672	333
889	2674	330
890	2676	327
891	2679	324
892	2681	321
893	2683	318
894	2686	315
895	2691	312
896	2697	309
897	2700	306
898	2702	303
899	2705	300
900	2707	297
901	2710	294
902	2715	291
903	2719	288
904	2721	285
905	2723	282
906	2726	279
907	2728	276
908	2731	273
909	2737	270
910	2739	267
911	2744	264
912	2745	261
913	2747	258
914	2749	255
915	2750	252
916	2752	249
917	2754	246
918	2760	243
919	2762	240
920	2764	237
921	2767	234
922	2769	231
923	2771	227
924	2773	224
925	2775	221
926	2776	218
927	2779	215
928	2781	212
929	2783	209
930	2786	206
931	2787	203
932	2789	200
933	2791	197
934	2793	194
935	2794	191
936	2796	188
937	2801	185
938	2803	182
939	2805	179
940	2807	176
941	2808	172
942	2811	169
943	2813	166
944	2814	163
945	2816	160
946	2817	157
947	2819	154
948	2821	151
949	2825	148
950	2827	145
951	2829	142
952	2831	139
953	2832	136
954	2834	133
955	2835	130
956	2837	127
957	2839	124
958	2841	121
959	2854	118
960	2858	116
961	2860	112
962	2862	109
963	2864	106
964	2866	103
965	2870	101
966	2875	98
967	2878	95
968	2880	92
969	2882	89
970	2884	86
971	2885	83
972	2887	80
973	2889	77
974	2893	74
975	2897	71
976	2898	68
977	2900	65
978	2901	62
979	2903	59
980	2904	56
981	2906	53
982	2907	50
983	2910	47
984	2913	44
985	2916	41
986	2918	38
987	2920	35
988	2921	32
989	2924	29
990	2927	26
991	2928	23
992	2930	20
993	2945	17
994	2952	14
995	2959	11
996	2962	8
997	2965	5
998	2969	2
999	2970	0
